febA	chA_1	chA_2	febB	chB_1	chB_2	x	y
-6	4	5	-16	4	5	3238.5125	58.65
-6	2	3	-16	2	3	3290.3125	58.65
-6	0	1	-16	0	1	3341.7	58.65
-6	62	63	-16	62	63	2610	87.975
-6	60	61	-16	60	61	2661.3875	87.975
-6	58	59	-16	58	59	2713.1875	87.975
-6	56	57	-16	56	57	2764.575	87.975
-6	54	55	-16	54	55	2816.375	87.975
-6	52	53	-16	52	53	2867.7625	87.975
-6	50	51	-16	50	51	2919.5625	87.975
-6	48	49	-16	48	49	2970.95	87.975
-6	46	47	-16	46	47	3022.75	87.975
-6	44	45	-16	44	45	3074.1375	87.975
-6	42	43	-16	42	43	3125.9375	87.975
-6	40	41	-16	40	41	3177.325	87.975
-6	38	39	-16	38	39	3229.125	87.975
-6	36	37	-16	36	37	3280.5125	87.975
-6	34	35	-16	34	35	3332.3125	87.975
-6	32	33	-16	32	33	3383.7	87.975
-20	30	31	6	30	31	836.75	150
-20	28	29	6	28	29	888.1375	150
-20	26	27	6	26	27	939.9375	150
-20	24	25	6	24	25	991.325	150
-20	22	23	6	22	23	1043.125	150
-20	20	21	6	20	21	1094.5125	150
-20	18	19	6	18	19	1146.3125	150
-20	16	17	6	16	17	1197.7	150
-20	14	15	6	14	15	1249.5	150
-20	12	13	6	12	13	1300.8875	150
-20	10	11	6	10	11	1352.6875	150
-20	8	9	6	8	9	1404.075	150
-20	6	7	6	6	7	1455.875	150
-20	4	5	6	4	5	1507.2625	150
-20	2	3	6	2	3	1559.0625	150
-20	0	1	6	0	1	1610.45	150
-20	62	63	6	62	63	878.75	179.325
-20	60	61	6	60	61	930.1375	179.325
-20	58	59	6	58	59	981.9375	179.325
-20	56	57	6	56	57	1033.325	179.325
-20	54	55	6	54	55	1085.125	179.325
-20	52	53	6	52	53	1136.5125	179.325
-20	50	51	6	50	51	1188.3125	179.325
-20	48	49	6	48	49	1239.7	179.325
-20	46	47	6	46	47	1291.5	179.325
-20	44	45	6	44	45	1342.8875	179.325
-20	42	43	6	42	43	1394.6875	179.325
-20	40	41	6	40	41	1446.075	179.325
-20	38	39	6	38	39	1497.875	179.325
-20	36	37	6	36	37	1549.2625	179.325
-20	34	35	6	34	35	1601.0625	179.325
-20	32	33	6	32	33	1652.45	179.325
-21	30	31	7	30	31	920.75	208.65
-21	28	29	7	28	29	972.1375	208.65
-21	26	27	7	26	27	1023.9375	208.65
-21	24	25	7	24	25	1075.325	208.65
-21	22	23	7	22	23	1127.125	208.65
-21	20	21	7	20	21	1178.5125	208.65
-21	18	19	7	18	19	1230.3125	208.65
-21	16	17	7	16	17	1281.7	208.65
-21	14	15	7	14	15	1333.5	208.65
-21	12	13	7	12	13	1384.8875	208.65
-21	10	11	7	10	11	1436.6875	208.65
-21	8	9	7	8	9	1488.075	208.65
-21	6	7	7	6	7	1539.875	208.65
-21	4	5	7	4	5	1591.2625	208.65
-21	2	3	7	2	3	1643.0625	208.65
-21	0	1	7	0	1	1694.45	208.65
-21	62	63	7	62	63	962.75	237.975
-21	60	61	7	60	61	1014.1375	237.975
-21	58	59	7	58	59	1065.9375	237.975
-21	56	57	7	56	57	1117.325	237.975
-21	54	55	7	54	55	1169.125	237.975
-21	52	53	7	52	53	1220.5125	237.975
-21	50	51	7	50	51	1272.3125	237.975
-21	48	49	7	48	49	1323.7	237.975
-21	46	47	7	46	47	1375.5	237.975
-21	44	45	7	44	45	1426.8875	237.975
-21	42	43	7	42	43	1478.6875	237.975
-21	40	41	7	40	41	1530.075	237.975
-21	38	39	7	38	39	1581.875	237.975
-21	36	37	7	36	37	1633.2625	237.975
-21	34	35	7	34	35	1685.0625	237.975
-21	32	33	7	32	33	1736.45	237.975
-22	30	31	-32	30	31	1664.75	150
-22	28	29	-32	28	29	1716.1375	150
-22	26	27	-32	26	27	1767.9375	150
-22	24	25	-32	24	25	1819.325	150
-22	22	23	-32	22	23	1871.125	150
-22	20	21	-32	20	21	1922.5125	150
-22	18	19	-32	18	19	1974.3125	150
-22	16	17	-32	16	17	2025.7	150
-22	14	15	-32	14	15	2077.5	150
-22	12	13	-32	12	13	2128.8875	150
-22	10	11	-32	10	11	2180.6875	150
-22	8	9	-32	8	9	2232.075	150
-22	6	7	-32	6	7	2283.875	150
-22	4	5	-32	4	5	2335.2625	150
-22	2	3	-32	2	3	2387.0625	150
-22	0	1	-32	0	1	2438.45	150
-22	62	63	-32	62	63	1706.75	179.325
-22	60	61	-32	60	61	1758.1375	179.325
-22	58	59	-32	58	59	1809.9375	179.325
-22	56	57	-32	56	57	1861.325	179.325
-22	54	55	-32	54	55	1913.125	179.325
-22	52	53	-32	52	53	1964.5125	179.325
-22	50	51	-32	50	51	2016.3125	179.325
-22	48	49	-32	48	49	2067.7	179.325
-22	46	47	-32	46	47	2119.5	179.325
-22	44	45	-32	44	45	2170.8875	179.325
-22	42	43	-32	42	43	2222.6875	179.325
-22	40	41	-32	40	41	2274.075	179.325
-22	38	39	-32	38	39	2325.875	179.325
-22	36	37	-32	36	37	2377.2625	179.325
-22	34	35	-32	34	35	2429.0625	179.325
-22	32	33	-32	32	33	2480.45	179.325
-23	30	31	-33	30	31	1748.75	208.65
-23	28	29	-33	28	29	1800.1375	208.65
-23	26	27	-33	26	27	1851.9375	208.65
-23	24	25	-33	24	25	1903.325	208.65
-23	22	23	-33	22	23	1955.125	208.65
-23	20	21	-33	20	21	2006.5125	208.65
-23	18	19	-33	18	19	2058.3125	208.65
-23	16	17	-33	16	17	2109.7	208.65
-23	14	15	-33	14	15	2161.5	208.65
-23	12	13	-33	12	13	2212.8875	208.65
-23	10	11	-33	10	11	2264.6875	208.65
-23	8	9	-33	8	9	2316.075	208.65
-23	6	7	-33	6	7	2367.875	208.65
-23	4	5	-33	4	5	2419.2625	208.65
-23	2	3	-33	2	3	2471.0625	208.65
-23	0	1	-33	0	1	2522.45	208.65
-23	62	63	-33	62	63	1790.75	237.975
-23	60	61	-33	60	61	1842.1375	237.975
-23	58	59	-33	58	59	1893.9375	237.975
-23	56	57	-33	56	57	1945.325	237.975
-23	54	55	-33	54	55	1997.125	237.975
-23	52	53	-33	52	53	2048.5125	237.975
-23	50	51	-33	50	51	2100.3125	237.975
-23	48	49	-33	48	49	2151.7	237.975
-23	46	47	-33	46	47	2203.5	237.975
-23	44	45	-33	44	45	2254.8875	237.975
-23	42	43	-33	42	43	2306.6875	237.975
-23	40	41	-33	40	41	2358.075	237.975
-23	38	39	-33	38	39	2409.875	237.975
-23	36	37	-33	36	37	2461.2625	237.975
-23	34	35	-33	34	35	2513.0625	237.975
-23	32	33	-33	32	33	2564.45	237.975
-40	0	1	-50	0	1	836.75	-300
-40	2	3	-50	2	3	888.1375	-300
-40	4	5	-50	4	5	939.9375	-300
-40	6	7	-50	6	7	991.325	-300
-40	8	9	-50	8	9	1043.125	-300
-40	10	11	-50	10	11	1094.5125	-300
-40	12	13	-50	12	13	1146.3125	-300
-40	14	15	-50	14	15	1197.7	-300
1	0	1	-50	16	17	1249.5	-300
1	2	3	-50	18	19	1300.8875	-300
1	4	5	-50	20	21	1352.6875	-300
1	6	7	-50	22	23	1404.075	-300
1	8	9	-50	24	25	1455.875	-300
1	10	11	-50	26	27	1507.2625	-300
1	12	13	-50	28	29	1559.0625	-300
1	14	15	-50	30	31	1610.45	-300
-40	32	33	-50	32	33	836.75	-270.675
-40	34	35	-50	34	35	888.1375	-270.675
-40	36	37	-50	36	37	939.9375	-270.675
-40	38	39	-50	38	39	991.325	-270.675
-40	40	41	-50	40	41	1043.125	-270.675
-40	42	43	-50	42	43	1094.5125	-270.675
-40	44	45	-50	44	45	1146.3125	-270.675
-40	46	47	-50	46	47	1197.7	-270.675
1	16	17	-50	48	49	1249.5	-270.675
1	18	19	-50	50	51	1300.8875	-270.675
1	20	21	-50	52	53	1352.6875	-270.675
1	22	23	-50	54	55	1404.075	-270.675
1	24	25	-50	56	57	1455.875	-270.675
1	26	27	-50	58	59	1507.2625	-270.675
1	28	29	-50	60	61	1559.0625	-270.675
1	30	31	-50	62	63	1610.45	-270.675
-41	0	1	-51	0	1	836.75	-241.35
-41	2	3	-51	2	3	888.1375	-241.35
-41	4	5	-51	4	5	939.9375	-241.35
-41	6	7	-51	6	7	991.325	-241.35
-41	8	9	-51	8	9	1043.125	-241.35
-41	10	11	-51	10	11	1094.5125	-241.35
-41	12	13	-51	12	13	1146.3125	-241.35
-41	14	15	-51	14	15	1197.7	-241.35
1	32	33	-51	16	17	1249.5	-241.35
1	34	35	-51	18	19	1300.8875	-241.35
1	36	37	-51	20	21	1352.6875	-241.35
1	38	39	-51	22	23	1404.075	-241.35
1	40	41	-51	24	25	1455.875	-241.35
1	42	43	-51	26	27	1507.2625	-241.35
1	44	45	-51	28	29	1559.0625	-241.35
1	46	47	-51	30	31	1610.45	-241.35
-41	32	33	-51	32	33	836.75	-212.025
-41	34	35	-51	34	35	888.1375	-212.025
-41	36	37	-51	36	37	939.9375	-212.025
-41	38	39	-51	38	39	991.325	-212.025
-41	40	41	-51	40	41	1043.125	-212.025
-41	42	43	-51	42	43	1094.5125	-212.025
-41	44	45	-51	44	45	1146.3125	-212.025
-41	46	47	-51	46	47	1197.7	-212.025
1	48	49	-51	48	49	1249.5	-212.025
1	50	51	-51	50	51	1300.8875	-212.025
1	52	53	-51	52	53	1352.6875	-212.025
1	54	55	-51	54	55	1404.075	-212.025
1	56	57	-51	56	57	1455.875	-212.025
1	58	59	-51	58	59	1507.2625	-212.025
1	60	61	-51	60	61	1559.0625	-212.025
1	62	63	-51	62	63	1610.45	-212.025
0	14	15	-52	30	31	1664.75	-300
0	12	13	-52	28	29	1716.1375	-300
0	10	11	-52	26	27	1767.9375	-300
0	8	9	-52	24	25	1819.325	-300
0	6	7	-52	22	23	1871.125	-300
0	4	5	-52	20	21	1922.5125	-300
0	2	3	-52	18	19	1974.3125	-300
0	0	1	-52	16	17	2025.7	-300
-42	14	15	-52	14	15	2077.5	-300
-42	12	13	-52	12	13	2128.8875	-300
-42	10	11	-52	10	11	2180.6875	-300
-42	8	9	-52	8	9	2232.075	-300
-42	6	7	-52	6	7	2283.875	-300
-42	4	5	-52	4	5	2335.2625	-300
-42	2	3	-52	2	3	2387.0625	-300
-42	0	1	-52	0	1	2438.45	-300
0	30	31	-52	62	63	1664.75	-270.675
0	28	29	-52	60	61	1716.1375	-270.675
0	26	27	-52	58	59	1767.9375	-270.675
0	24	25	-52	56	57	1819.325	-270.675
0	22	23	-52	54	55	1871.125	-270.675
0	20	21	-52	52	53	1922.5125	-270.675
0	18	19	-52	50	51	1974.3125	-270.675
0	16	17	-52	48	49	2025.7	-270.675
-42	46	47	-52	46	47	2077.5	-270.675
-42	44	45	-52	44	45	2128.8875	-270.675
-42	42	43	-52	42	43	2180.6875	-270.675
-42	40	41	-52	40	41	2232.075	-270.675
-42	38	39	-52	38	39	2283.875	-270.675
-42	36	37	-52	36	37	2335.2625	-270.675
-42	34	35	-52	34	35	2387.0625	-270.675
-42	32	33	-52	32	33	2438.45	-270.675
0	46	47	-53	30	31	1664.75	-241.35
0	44	45	-53	28	29	1716.1375	-241.35
0	42	43	-53	26	27	1767.9375	-241.35
0	40	41	-53	24	25	1819.325	-241.35
0	38	39	-53	22	23	1871.125	-241.35
0	36	37	-53	20	21	1922.5125	-241.35
0	34	35	-53	18	19	1974.3125	-241.35
0	32	33	-53	16	17	2025.7	-241.35
-43	14	15	-53	14	15	2077.5	-241.35
-43	12	13	-53	12	13	2128.8875	-241.35
-43	10	11	-53	10	11	2180.6875	-241.35
-43	8	9	-53	8	9	2232.075	-241.35
-43	6	7	-53	6	7	2283.875	-241.35
-43	4	5	-53	4	5	2335.2625	-241.35
-43	2	3	-53	2	3	2387.0625	-241.35
-43	0	1	-53	0	1	2438.45	-241.35
0	62	63	-53	62	63	1664.75	-212.025
0	60	61	-53	60	61	1716.1375	-212.025
0	58	59	-53	58	59	1767.9375	-212.025
0	56	57	-53	56	57	1819.325	-212.025
0	54	55	-53	54	55	1871.125	-212.025
0	52	53	-53	52	53	1922.5125	-212.025
0	50	51	-53	50	51	1974.3125	-212.025
0	48	49	-53	48	49	2025.7	-212.025
-43	46	47	-53	46	47	2077.5	-212.025
-43	44	45	-53	44	45	2128.8875	-212.025
-43	42	43	-53	42	43	2180.6875	-212.025
-43	40	41	-53	40	41	2232.075	-212.025
-43	38	39	-53	38	39	2283.875	-212.025
-43	36	37	-53	36	37	2335.2625	-212.025
-43	34	35	-53	34	35	2387.0625	-212.025
-43	32	33	-53	32	33	2438.45	-212.025
